node,betweeness_centrality,node_type
FLOT1,0.00016572254416658154,gene/protein
EDN1,0.00016348632205304516,gene/protein
CCT7,0.0001615938457993641,gene/protein
Burkholderia pseudomallei,0.00016153303968712045,bacteria
sulfone,0.00016125977807427653,drug_class
GNAS,0.0001598443054876797,gene/protein
PTEN,0.0001598010472600415,gene/protein
PML,0.0001562513636560672,gene/protein
obesity disorder,0.0001557579414350164,effect/phenotype
IKBKB,0.0001543289385412731,gene/protein
IRF7,0.0001539814728718864,gene/protein
Autosomal dominant inheritance,0.00015367576682996013,effect/phenotype
GCG,0.00015331007674068697,gene/protein
FAM234A,0.00015261733233526184,gene/protein
TNFAIP3,0.0001498110608652637,gene/protein
STMN1,0.00014980317018871797,gene/protein
GNB2,0.0001493221564947692,gene/protein
IFNGR2,0.00014825275730865784,gene/protein
lincosamide,0.00014617080693105905,drug_class
CCL5,0.00014386600729131163,gene/protein
KPNA1,0.00014335115349582185,gene/protein
KPNA5,0.0001424538511721249,gene/protein
KRT17,0.0001424538511721249,gene/protein
EPHA2,0.00014172852037113345,gene/protein
BCL2,0.00014047438296038782,gene/protein
nitroimidazole,0.00013981189294022108,drug_class
EPAS1,0.00013957367299816613,gene/protein
GNAI1,0.00013942618986549976,gene/protein
msbA,0.00013912109065478918,resistance_gene
YWHAG,0.0001378310761390919,gene/protein
Pseudomonas mutant PhoP conferring resistance to colistin,0.0001366879788484924,resistance_gene
Pseudomonas mutant PhoQ conferring resistance to colistin,0.0001366879788484924,resistance_gene
Klebsiella pneumoniae mutant PhoQ conferring resistance to colistin,0.0001366874432144649,resistance_gene
Klebsiella mutant PhoP conferring antibiotic resistance to colistin,0.0001366874432144649,resistance_gene
SNX14,0.00013335520109725597,gene/protein
NR1I2,0.00013252241507468135,gene/protein
PFN1,0.0001299807031638338,gene/protein
GNG4,0.00012968419438369463,gene/protein
CYP2A6,0.0001289191181777429,gene/protein
ADAM17,0.00012876740841666814,gene/protein
BTRC,0.00012607587740079938,gene/protein
OmpA,0.00012290350947251534,resistance_gene
LpsB,0.00012288646368485316,resistance_gene
pgpB,0.00012237424171946515,resistance_gene
PSMD10,0.00012225673833020029,gene/protein
alpha-mannosidosis,0.00012221363217541586,disease
BHMT,0.00012176702758850349,gene/protein
PSTPIP1,0.0001215754679061265,gene/protein
Enterococcus faecalis liaS mutant conferring daptomycin resistance,0.00012014193629323623,resistance_gene
basR,0.00012013599743730017,resistance_gene
cprR,0.00012013599743730017,resistance_gene
cprS,0.00012013599743730017,resistance_gene
basS,0.00012013599743730017,resistance_gene
Staphylococcus aureus walK with mutation conferring resistance to daptomycin,0.00011999581168275116,resistance_gene
Staphylococcus aureus cls conferring resistance to daptomycin,0.00011999581168275116,resistance_gene
Enterococcus faecalis cls with mutation conferring resistance to daptomycin,0.00011998575562043009,resistance_gene
Enterococcus faecalis gshF with mutation conferring daptomycin resistance,0.00011998575562043009,resistance_gene
YojI,0.00011998531700511309,resistance_gene
ArnT,0.00011998370076126777,resistance_gene
MCR-5.1,0.00011998157216782952,resistance_gene
MCR-3.1,0.00011998103653380181,resistance_gene
MCR-1.1,0.00011998103653380181,resistance_gene
mcr-10.1,0.00011998103653380181,resistance_gene
MCR-3.4,0.00011998103653380181,resistance_gene
MCR-1.2,0.00011998103653380181,resistance_gene
MCR-1.32,0.00011998103653380181,resistance_gene
MCR-3.39,0.00011998103653380181,resistance_gene
MCR-3.20,0.00011998103653380181,resistance_gene
MCR-2.3,0.00011998103653380181,resistance_gene
MCR-3.5,0.00011998103653380181,resistance_gene
MCR-9.1,0.00011998103653380181,resistance_gene
arnA,0.0001199798167644939,resistance_gene
MCR-3.21,0.00011997928113046618,resistance_gene
MCR-3.40,0.00011997928113046618,resistance_gene
MCR-3.11,0.00011997928113046618,resistance_gene
MCR-3.22,0.00011997928113046618,resistance_gene
almF,0.00011997928113046618,resistance_gene
eptB,0.00011997928113046618,resistance_gene
MCR-8.2,0.00011997928113046618,resistance_gene
MCR-3.28,0.00011997928113046618,resistance_gene
MCR-3.26,0.00011997928113046618,resistance_gene
MCR-8.1,0.00011997928113046618,resistance_gene
MCR-8.3,0.00011997928113046618,resistance_gene
MCR-3.23,0.00011997928113046618,resistance_gene
MCR-1.27,0.00011997928113046618,resistance_gene
ugd,0.00011997890794036355,resistance_gene
MCR-1.5,0.00011997890794036355,resistance_gene
MCR-1.34,0.00011997890794036355,resistance_gene
MCR-3.2,0.00011997890794036355,resistance_gene
PmrF,0.00011997890794036355,resistance_gene
MCR-1.33,0.00011997890794036355,resistance_gene
MCR-1.18,0.00011997890794036355,resistance_gene
MCR-5.3,0.00011997890794036355,resistance_gene
MCR-1.26,0.00011997890794036355,resistance_gene
bacA,0.00011997890794036355,resistance_gene
MCR-3.19,0.00011997890794036355,resistance_gene
MCR-1.7,0.00011997890794036355,resistance_gene
MCR-3.24,0.00011997890794036355,resistance_gene
eptA,0.00011997890794036355,resistance_gene
MCR-4.3,0.00011997876589508915,resistance_gene
BCL2L1,0.00011837494225636099,gene/protein
PSMA4,0.00011571058297715463,gene/protein
YY1,0.00011558544044753534,gene/protein
IFNAR2,0.00011554056058651445,gene/protein
IFNGR1,0.00011554056058651445,gene/protein
PSMB9,0.00011501437789768058,gene/protein
diabetic ketoacidosis,0.00011490584380657634,disease
nitrofuran,0.0001148712621741244,drug_class
FOXP3,0.0001136787295906392,gene/protein
tuberculosis,0.00011245819187268515,disease
TNS2,0.0001123793125694803,gene/protein
RUVBL2,0.00011233745667788213,gene/protein
IL6,0.00010995599563420107,gene/protein
RPGRIP1,0.0001087441025036693,gene/protein
