node,betweeness_centrality,node_type
SET,4.1741433016291374e-05,gene/protein
UBE2I,4.1409847946138356e-05,gene/protein
PSMD8,4.0636929876812366e-05,gene/protein
NFYB,4.0287542476656175e-05,gene/protein
ERBB2,3.9856115664430446e-05,gene/protein
KPNA2,3.952057502023899e-05,gene/protein
SH3KBP1,3.951873484332555e-05,gene/protein
NFATC3,3.944377806774005e-05,gene/protein
HNRNPAB,3.930186219857035e-05,gene/protein
MAPK8,3.9200600748875766e-05,gene/protein
EDNRB,3.915132503669773e-05,gene/protein
GSTM1,3.85707052930554e-05,gene/protein
LMNA,3.856101748177551e-05,gene/protein
CCN3,3.775133006383004e-05,gene/protein
ITLN1,3.762224049938697e-05,gene/protein
BCL2L13,3.762043882059625e-05,gene/protein
SMARCD2,3.759710944274203e-05,gene/protein
RAC1,3.748697924098837e-05,gene/protein
NFE2L2,3.741277119894513e-05,gene/protein
GSK3B,3.735083131347927e-05,gene/protein
PSMC1,3.715708290914915e-05,gene/protein
PSMD11,3.700998712740632e-05,gene/protein
SOX2,3.672887614338152e-05,gene/protein
KAT2A,3.653409267280831e-05,gene/protein
HLA-B,3.6529196510208275e-05,gene/protein
PSMD4,3.621251619550345e-05,gene/protein
CTNND1,3.613459103261486e-05,gene/protein
SGK1,3.607487905278566e-05,gene/protein
KAT5,3.576960678918852e-05,gene/protein
MIR203A,3.5769390347289806e-05,gene/protein
DAXX,3.574696001517671e-05,gene/protein
PLA2G4A,3.5558351691975476e-05,gene/protein
JAK2,3.546676877508572e-05,gene/protein
Recurrent bacterial infections,3.530762828429998e-05,effect/phenotype
MORF4L1,3.519440329430939e-05,gene/protein
IGF1R,3.516423724074871e-05,gene/protein
PIK3CD,3.4907122516207245e-05,gene/protein
DTL,3.4679071579272685e-05,gene/protein
PRKCZ,3.4495516033856394e-05,gene/protein
SUZ12,3.404683513601402e-05,gene/protein
UBE2K,3.396996512444938e-05,gene/protein
TNS2,3.387417633469494e-05,gene/protein
LIG4,3.378960014944613e-05,gene/protein
JUP,3.3332259414342043e-05,gene/protein
USF2,3.312928486459547e-05,gene/protein
GNB2,3.3079933951571e-05,gene/protein
H1-3,3.280758811471499e-05,gene/protein
IKBKB,3.27068713176196e-05,gene/protein
C3,3.249464615294914e-05,gene/protein
PICK1,3.246468485564296e-05,gene/protein
TP53,3.233265547965113e-05,gene/protein
ESR1,3.21622445114081e-05,gene/protein
JAZF1,3.188757994995354e-05,gene/protein
MAP3K7,3.1639513607191905e-05,gene/protein
H1-5,3.114605986851196e-05,gene/protein
MAPK3,3.109896794775996e-05,gene/protein
MUC1,3.102202413663582e-05,gene/protein
TNFAIP3,3.0332057857311116e-05,gene/protein
STAT2,3.0299765894273704e-05,gene/protein
FOXO3,3.0243027460508688e-05,gene/protein
CMIP,3.0149768912953225e-05,gene/protein
PSMD5,3.0095220865498785e-05,gene/protein
CCL4,2.998398814848926e-05,gene/protein
ERBB3,2.9727059756636995e-05,gene/protein
VASN,2.9684222913451372e-05,gene/protein
ELAVL1,2.944055839436966e-05,gene/protein
KL,2.9152599645698325e-05,gene/protein
H3C7,2.910319432913336e-05,gene/protein
PRKCD,2.8977445560398212e-05,gene/protein
HSPA4,2.8658763422551235e-05,gene/protein
SOCS2,2.8635024006852214e-05,gene/protein
PIAS1,2.854346307944287e-05,gene/protein
HSPB1,2.8212453915449776e-05,gene/protein
EIF6,2.8134675802115575e-05,gene/protein
SUOX,2.8093877955166816e-05,gene/protein
ADAM17,2.7917864762517552e-05,gene/protein
cellulitis (disease),2.749768346113881e-05,disease
MAPK7,2.740302473526663e-05,gene/protein
DYNLL1,2.7348980827301268e-05,gene/protein
E2F1,2.732280138069208e-05,gene/protein
RAD23B,2.6663249612460108e-05,gene/protein
TYK2,2.6395465528182125e-05,gene/protein
RB1,2.630590361732976e-05,gene/protein
GAPDH,2.5843246735566274e-05,gene/protein
PTEN,2.527778874176536e-05,gene/protein
RPGRIP1,2.5009615783428602e-05,gene/protein
PSMD1,2.4940037688691037e-05,gene/protein
SLC2A2,2.4919308044368947e-05,gene/protein
HSPA8,2.4767327119426434e-05,gene/protein
GNAQ,2.439633682909761e-05,gene/protein
GNA12,2.439633682909761e-05,gene/protein
C2CD4A,2.4237797166476278e-05,gene/protein
CDK1,2.423032933710128e-05,gene/protein
RUVBL2,2.4215799068642574e-05,gene/protein
GNAI1,2.393426345167537e-05,gene/protein
GCGR,2.375047501088038e-05,gene/protein
PPP2R1A,2.362314476829176e-05,gene/protein
RAB4A,2.3262668556025277e-05,gene/protein
SMARCA2,2.3262668556025277e-05,gene/protein
GCKR,2.300527599219277e-05,gene/protein
GPM6B,2.2644388273033762e-05,gene/protein
PRKN,2.2125383971636535e-05,gene/protein
TP73,2.2022841711500822e-05,gene/protein
CTNND2,2.1767620673943865e-05,gene/protein
TRAF1,2.1728597420637628e-05,gene/protein
YWHAE,2.1613830479934128e-05,gene/protein
ILF3,2.1532283103916835e-05,gene/protein
C5AR2,2.1432475074458774e-05,gene/protein
TCTN2,2.0912480517611834e-05,gene/protein
ST14,2.0864827365315086e-05,gene/protein
BAX,2.0864091245313963e-05,gene/protein
TMEM18,2.0838485634912126e-05,gene/protein
PRDX1,2.078822761707478e-05,gene/protein
FN1,2.075022607747938e-05,gene/protein
IFNG,2.0648075182985078e-05,gene/protein
MET,2.0604091331328823e-05,gene/protein
PIK3CA,2.053648913981052e-05,gene/protein
PTPN12,2.0325448174633896e-05,gene/protein
HSP90AA1,2.0268153280691633e-05,gene/protein
PRCC,2.0257956845133687e-05,gene/protein
FEN1,2.0257956845133687e-05,gene/protein
CYBA,1.9980324152199733e-05,gene/protein
PSMD10,1.992582283530699e-05,gene/protein
MECP2,1.9912979467287087e-05,gene/protein
Recurrent Staphylococcus aureus infections,1.988650383137794e-05,effect/phenotype
RANBP9,1.987038820021037e-05,gene/protein
Recurrent Klebsiella infections,1.952565603535608e-05,effect/phenotype
MAFK,1.9488054057341764e-05,gene/protein
HLA-A,1.9058447433550628e-05,gene/protein
BLK,1.88906786987743e-05,gene/protein
HSPD1,1.8771462592284103e-05,gene/protein
Recurrent streptococcus pneumoniae infections,1.8635814405624207e-05,effect/phenotype
PCNA,1.861856224577269e-05,gene/protein
PSMA7,1.851806656478299e-05,gene/protein
FAM234A,1.847243353222104e-05,gene/protein
PSMA4,1.8201347088371e-05,gene/protein
CRK,1.813967677787505e-05,gene/protein
CCT7,1.8009939350337318e-05,gene/protein
PRKAR1A,1.7807154760188813e-05,gene/protein
VCAM1,1.7780229698681773e-05,gene/protein
SRP72,1.7536687067143677e-05,gene/protein
PTPN11,1.748249676303919e-05,gene/protein
NR4A1,1.7473659809028472e-05,gene/protein
CREBBP,1.7279653737412323e-05,gene/protein
PSMB9,1.7244454049232385e-05,gene/protein
MMP3,1.7223450337810074e-05,gene/protein
PLK1,1.7049019160661585e-05,gene/protein
LRP2,1.7020927321086025e-05,gene/protein
RAP1A,1.66141977223776e-05,gene/protein
SQSTM1,1.646546542474284e-05,gene/protein
FYN,1.6441358783585253e-05,gene/protein
HSP90AB1,1.6420689918608326e-05,gene/protein
RUVBL1,1.6313757092528814e-05,gene/protein
ITK,1.597572371624914e-05,gene/protein
CMTM7,1.5889958059020538e-05,gene/protein
LYN,1.5754386189137498e-05,gene/protein
NR3C2,1.5582582683240326e-05,gene/protein
NUBP2,1.5525496568362206e-05,gene/protein
Bacteremia,1.5471363114935443e-05,disease
CLDN14,1.5443367954394e-05,gene/protein
GPANK1,1.5435631257154385e-05,gene/protein
IFNAR2,1.538156094418628e-05,gene/protein
IFNGR1,1.538156094418628e-05,gene/protein
DFFA,1.529572456913171e-05,gene/protein
PSMB1,1.513189364412922e-05,gene/protein
NCOA1,1.5107581433862663e-05,gene/protein
PPP1CA,1.495398483371077e-05,gene/protein
JAK1,1.479912747028791e-05,gene/protein
PRKAB2,1.47780735264797e-05,gene/protein
RXRA,1.4728810166931191e-05,gene/protein
CHUK,1.4724905499899574e-05,gene/protein
CD247,1.4695437764448419e-05,gene/protein
RRAS,1.4622875110862146e-05,gene/protein
MDH2,1.4484087826105352e-05,gene/protein
PRKCSH,1.4484087826105352e-05,gene/protein
AR,1.4432958507948209e-05,gene/protein
MIR141,1.4370212634109093e-05,gene/protein
LMNB2,1.422408261095862e-05,gene/protein
PKN1,1.4173475823250628e-05,gene/protein
UBE2V2,1.4129054917559818e-05,gene/protein
MYO9A,1.412426333596777e-05,gene/protein
H2BC21,1.4073146029123112e-05,gene/protein
PSMB3,1.4045518219665766e-05,gene/protein
craniopharyngioma,1.4031476432041988e-05,disease
PKMYT1,1.4003411624020647e-05,gene/protein
WDR45B,1.3935164970135088e-05,gene/protein
PPP1R15A,1.3935164970135088e-05,gene/protein
IL4,1.3842692398741519e-05,gene/protein
CD99L2,1.3743165370206975e-05,gene/protein
Increased risk of pathogen mutation,1.3406212829539284e-05,effect/phenotype
TGFBR1,1.3353362448865636e-05,gene/protein
HSD3B7,1.3156591893450133e-05,gene/protein
GDF15,1.3021056716799393e-05,gene/protein
CDC42,1.2815597782931354e-05,gene/protein
STAT6,1.2759511360444602e-05,gene/protein
POU1F1,1.272422214235977e-05,gene/protein
TMUB1,1.2696005608471195e-05,gene/protein
NR1H4,1.2634837280147055e-05,gene/protein
HSPA1B,1.242534363950122e-05,gene/protein
MIR27A,1.236994956416215e-05,gene/protein
ST13,1.2326742403974175e-05,gene/protein
STK4,1.220375309066734e-05,gene/protein
PCBD1,1.2114565972259938e-05,gene/protein
NFYA,1.2013963973171385e-05,gene/protein
SERPINA1,1.1981293308502448e-05,gene/protein
RAB7A,1.187870077469549e-05,gene/protein
POU2F1,1.1865955375700339e-05,gene/protein
HBA2,1.1849692849285051e-05,gene/protein
HBB,1.1849692849285051e-05,gene/protein
APPL1,1.165798248874811e-05,gene/protein
HSPA9,1.1561022118611579e-05,gene/protein
SRPK1,1.1461239132990286e-05,gene/protein
RYBP,1.1405483012453471e-05,gene/protein
MYOC,1.1352489968655369e-05,gene/protein
